### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV]
n	mu	p	e
2.2908677e-05	939.6469404061841	2.7405164631147602e-06	0.02152332773534041
2.5118864e-05	939.6598628328524	3.0506729709907192e-06	0.02360013762778608
2.7542287e-05	939.6731224394588	3.39963014092257e-06	0.025877347194272787
3.0199517e-05	939.6867478470426	3.79281441711713e-06	0.028374293101864363
3.3113112e-05	939.7007697699956	4.23648360213312e-06	0.031112180352277943
3.6307805e-05	939.7152210931046	4.73786029923555e-06	0.03411425914268109
3.9810717e-05	939.730136937323	5.30528602499892e-06	0.03740602525195801
4.3651583e-05	939.7455547443294	5.948401215409999e-06	0.041015432680587736
4.7863009e-05	939.7615143516952	6.678351491794859e-06	0.04497313546777701
5.2480746e-05	939.778058049256	7.508026724625e-06	0.04931274553413163
5.7543994e-05	939.7952305979059	8.45233689901132e-06	0.054071118773855495
6.3095734e-05	939.813079267177	9.52853035435002e-06	0.05928866752880837
6.9183097e-05	939.8316538634289	1.0756556789166349e-05	0.06500970791611486
7.5857758e-05	939.8510066734736	1.215948732611108e-05	0.07128283073296662
8.3176377e-05	939.8711925021574	1.3763996922464282e-05	0.07816131664207657
9.1201084e-05	939.8922685784061	1.5600910325668717e-05	0.08570359282724409
0.0001	939.9142945176407	1.7705833000000003e-05	0.09397372361876408
0.00010964782	939.937332246614	2.0119870590028e-05	0.1030419595468
0.00012022644	939.9614459188477	2.2890446919258e-05	0.1129853279331
0.00013182567	939.9867018488645	2.60722397716239e-05	0.12388830452249999
0.00014454398	940.0131683336695	2.9728244731415997e-05	0.1358435163586
0.00015848932	940.0409156339597	3.3930983273479594e-05	0.1489525145077
0.00017378008	940.0700158237928	3.8763888607032e-05	0.16332667866679998
0.00019054607	940.1005426872364	4.43228737061825e-05	0.1790881409402
0.00020892961	940.1325716338043	5.0718107847569306e-05	0.19637081343190002
0.00022908677	940.1661795951088	5.807604593075009e-05	0.21532155730070002
0.00025118864	940.201444902712	6.654171697250402e-05	0.2361013805541
0.00027542287	940.2384472223606	7.628134943041079e-05	0.25888689026879996
0.00030199517	940.277267422444	8.748529185232511e-05	0.28387170793050004
0.00033113112	940.3179874706434	0.0001003713657390816	0.3112681769815
0.00036307805	940.3606902929964	0.00011518862810753153	0.3413091371001
0.00039810717	940.405459604776	0.0001322216185301973	0.3742499345572
0.00043651583	940.4523797413676	0.0001517951234744082	0.41037055599480005
0.00047863009	940.5015354515665	0.00017427955417894398	0.4499780550041
0.00052480746	940.55301160631	0.00020009695619759937	0.4934091400602
0.00057543994	940.6068929543928	0.0002297277485675358	0.5410330462966
0.00063095734	940.6632636808708	0.000263718210804568	0.5932546724769
0.00069183097	940.722207313103	0.0003026888759211838	0.65051806831
0.00075857758	940.783805781188	0.0003473438288674172	0.7133101588638
0.00083176377	940.8481396058768	0.0003984809876849904	0.7821649146083001
0.00091201084	940.9152869590059	0.000457003570263838	0.857667937658
0.001	940.9853230997603	0.00052393266	0.9404613904397
0.0010964782	941.0583201867588	0.000600421133495356	1.0312495118798999
0.0012022644	941.1343465264022	0.000687768839426568	1.1308045516065002
0.0013182567	941.213465821221	0.0007874395608203671	1.2399735178882
0.0014454398	941.2957369819628	0.000901079206946702	1.3596852425971
0.0015848932	941.3812131880272	0.0010305359764511681	1.4909581474129998
0.0017378008	941.4699417935065	0.001177882633456576	1.6349093353912
0.0019054607	941.5619638574072	0.00134544065552611	1.7927638780894999
0.0020892961	941.6573136738651	0.0015358069225806618	1.9658651460727001
0.0022908677	941.7560188661004	0.0017518834124349912	2.1556865614885004
0.0025118864	941.8581009501602	0.0019969099750760163	2.3638436445314
0.0027542287	941.9635750530466	0.002274502075103373	2.5921086106906004
0.0030199517	942.0724519797612	0.002588692721997941	2.8424246101574
0.0033113112	942.1847385891308	0.0029439825147303117	3.1169228948445
0.0036307805	942.3004408004174	0.003345397776074135	3.4179406678234
0.0039810717	942.4195666938829	0.003798561936177954	3.7480413045551
0.0043651583	942.5421301750944	0.0043097826002315275	4.1100358200332
0.0047863009	942.6681570820991	0.0048861622819776004	4.5070072863614
0.0052480746	942.7976919502942	0.00553574046189456	4.942336879601
0.0057543994	942.9308075020384	0.006267676289601619	5.4197327966416
0.0063095734	943.0676160153907	0.00709249492246698	5.9432618494896
0.0069183097	943.208283699462	0.00802240620417785	6.5173846120341
0.0075857758	943.3530487340676	0.009071742801375881	7.1469929851417
0.0083176377	943.5022425039073	0.010257532060802821	7.837452290224201
0.0091201084	943.6563162822183	0.01160027810285968	8.5946476187356
0.01	943.815872706216	0.013124997000000001	9.4250337300621
0.010964782	943.9817027959688	0.0148626063010956	10.335690976845399
0.012022644	944.1548294562732	0.0168517649883072	11.3343856304451
0.013182567	944.3365586829656	0.019141312705895693	12.429638642681699
0.014454398	944.5285362187134	0.0217934653678812	13.6307979194948
0.015848932	944.7328124769791	0.0248879693882204	14.9481181337281
0.017378008	944.9519127275548	0.028527484213883198	16.3928544147808
0.019054607	945.1889119799176	0.0328444298968214	17.977358828638
0.020892961	945.4475128731984	0.038009646746312103	19.7151883672604
0.022908677	945.732121311194	0.0442431819690773	21.6212285136738
0.025118864	946.0479165539389	0.051827528533310394	23.711821424868397
0.027542287	946.400909564716	0.061123650084427196	26.004921818208
0.030199517	946.7979821899321	0.07258998106246341	28.520251777648003
0.033113112	947.246901252596	0.0868046687817192	31.2794880640484
0.036307805	947.7563035192748	0.1044910888736	34.3064599668249
0.039810717	948.3356506009563	0.1265469073643	37.6273752997211
0.043651583	948.9951642169951	0.15407711473949998	41.2710640626772
0.047863009	949.7457688816299	0.188432435343	45.2692578483503
0.052480746	950.5990811929348	0.23125633377590002	49.6568925941438
0.057543994	951.5675419357086	0.2845473912243	54.4724495325187
0.063095734	952.6647964175297	0.3507498541207	59.7583347318038
0.069183097	953.9065006158252	0.4328951311793	65.56131082985581
0.075857758	955.3117765645984	0.5348315953931999	71.93297796579411
0.083176377	956.905589454764	0.6616015961567999	78.9303384657398
0.091201084	958.7223339550892	0.8200526137206999	86.61646349799341
0.1	960.8109426290024	1.0198055000000001	95.06128876290019
0.10964782	963.2417654320849	1.2747442836429	104.3426154289365
0.12022644	966.1153433733089	1.6052369770632	114.54737138608729
0.13182567	969.5730171474064	2.0413343416453	125.77327825773298
0.14454398	973.808982697872	2.6272160588181	138.1310100600834
0.15848932	979.0829997778903	3.4271380295402	151.7470608288177
0.17378008	985.7323714085456	4.533051301439	166.76759906052771
0.19054607	994.181260608834	6.0738913056464	183.36344077101268
0.20892961	1004.9448695823395	8.226258033104601	201.7364816402344
0.22908677	1018.6259830563126	11.225868660671601	222.1278676357738
0.25118864	1035.902142275076	15.3788762827024	244.82797400846042
0.27542287	1057.5035107195094	21.072119039448797	270.1885329179942
0.30199517	1084.1841600503894	28.7817046399709	298.6366750857536
0.33113112	1116.6915614819084	39.080117961578395	330.6912094864747
0.36307805	1155.740301441009	52.642868008525	366.9810669450887
0.39810717	1201.994370760536	70.2563370464898	408.2662402529179
0.43651583	1256.060474973945	92.8287274263639	455.4615533370819
0.47863009	1318.4921214245744	121.4058577064511	509.6641450352839
